Entity,Frequency
one,472
two,260
first,232
ya,215
tonight,183
today,118
three,103
the day,82
dem,69
tomorrow,69
jesus,67
un,64
four,62
night,62
new york,61
half,54
five,52
one day,42
tu cuerpo,42
the night,42
years,42
nine,40
bob dobalina,39
dans,38
second,37
six,37
a minute,37
fallin,37
every day,37
ten,37
christmas,35
93,33
yesterday,33
ho,33
all night,33
joe,32
seven,32
gangsta,31
hai,31
9,30
third,30
all day,29
california,28
the days,28
ya ear,26
mista dobalina,25
tellin,25
mans,25
jayz,25
the first of the month,24
french,24
40,24
miami,23
mista,23
west coast,23
rollin,23
buena,22
911,22
brooklyn,21
macarena que,21
96,21
last night,21
95,20
bustin,20
the years,19
million,19
days,19
the morning,19
twelve,19
cali cali,19
la,18
nwa,18
187,18
feelin,18
every night,18
2,18
wu,18
12,17
eight,16
friday,16
this morning,16
fifth,15
44,15
4,15
halloween,15
late night,15
el segundo,15
soona,15
callin,14
morena boricua,14
2pac,14
sunday,14
one two,14
every single day,13
kim,13
gangsta party,13
whatta,13
kinda,13
tu cuerpo alegría,13
summer,13
